#,Pokemon,Type,
1,Sprigatito,Grass,
2,Floragato,Grass,
3,Meowscarada,Grass/Dark,
4,Fuecoco,Fire,
5,Crocalor,Fire,
6,Skeledirge,Fire/Ghost,
7,Quaxly,Water,
8,Quaxwell,Water,
9,Quaquaval,Water/Fighting,
10,Lechonk,Normal,
11,Oinkologne,Normal,
12,Tarountula,Bug,
13,Spidopos,Bug,
14,Nymble,Bug,
15,Lokix,Bug/Dark,
16,Hoppip,Grass/Flying,
17,Skiploom,Grass/Flying,
18,Jumpluff,Grass/Flying,
19,Fletchling,Normal/Flying,
20,Fletchinder,Fire/Flying,
21,Talonflame,Fire/Flying,
22,Pawmi,Electric,
23,Pawmo,Electric/Fighting,
24,Pawmot,Electric/Fighting,
25,Houndour,Fire/Dark,
26,Houndoom,Fire/Dark,
27,Yungoos,Normal,
28,Gumshoos,Normal,
29,Skwovet,Normal,
30,Greedent,Normal,
31,Sunkern,Grass,
32,Sunflora,Grass,
33,Kricketot,Bug,
34,Kricketune,Bug,
35,Scatterbug,Bug,
36,Spewpa,Bug,
37,Vivillon,Bug/Flying,
38,Combee,Bug/Flying,
39,Vespiquen,Bug/Flying,
40,Rookidee,Flying,
41,Corvisquire,Flying,
42,Corviknight,Flying/Steel,
43,Happiny,Normal,
44,Chansey,Normal,
45,Blissey,Normal,
46,Azurill,Normal/Fairy,
47,Marill,Water/Fairy,
48,Azumarill,Water/Fairy,
49,Surskit,Bug/Water,
50,Masquerain,Bug/Water,
51,Buizel,Water,
52,Floatzel,Water,
53,Wooper (Paldean Form),Poison/Ground,
54,Clodsire,Poison/Ground,
55,Psyduck,Water,
56,Golduck,Water,
57,Chewtle,Water,
58,Drednaw,Water,
59,Igglybuff,Normal/Fairy,
60,Jigglypuff,Normal/Fairy,
61,Wigglytuff,Normal/Fairy,
62,Ralts,Psychic/Fairy,
63,Kirlia,Psychic/Fairy,
64,Gardevoir,Psychic/Fairy,
65,Gallade,Psychic/Fighting,
66,Drowzee,Psychic,
67,Hypno,Psychic,
68,Gastly,Ghost/Poison,
69,Haunter,Ghost/Poison,
70,Gengar,Ghost/Poison,
71,Tandemaus,Normal,
72,Maushold,Normal,
73,Pichu,Electric,
74,Pikachu,Electric,
75,Raichu,Electric,
76,Fidough,Fairy,
77,Dachsbun,Fairy,
78,Slakoth,Normal,
79,Vigoroth,Normal,
80,Slaking,Normal,
81,Bounsweet,Grass,
82,Steenee,Grass,
83,Tsareena,Grass,
84,Smoliv,Grass/Normal,
85,Dolliv,Grass/Normal,
86,Arboliva,Grass/Normal,
87,Bonsly,Rock,
88,Sudowoodo,Rock,
89,Rockruff,Rock,
90,Lycanroc,Rock,
91,Rolycoly,Rock,
92,Carkol,Rock/Fire,
93,Coalossal,Rock/Fire,
94,Shinx,Electric,
95,Luxio,Electric,
96,Luxray,Electric,
97,Starly,Normal/Flying,
98,Staravia,Normal/Flying,
99,Staraptor,Normal/Flying,
100,Oricorio,Flying,
101,Mareep,Electric,
102,Flaaffy,Electric,
103,Ampharos,Electric,
104,Petilil,Grass,
105,Lilligant,Grass,
106,Shroomish,Grass,
107,Breloom,Grass/Fighting,
108,Applin,Grass/Dragon,
109,Flapple,Grass/Dragon,
110,Appletun,Grass/Dragon,
111,Spoink,Psychic,
112,Grumpig,Psychic,
113,Squawkabilly,Normal/Flying,
114,Misdreavus,Ghost,
115,Mismagius,Ghost,
116,Makuhita,Fighting,
117,Hariyama,Fighting,
118,Crawbrawler,Fighting,
119,Crabominable,Fighting/Ice,
120,Salandit,Poison/Fire,
121,Salazzle,Poison/Fire,
122,Phanpy,Ground,
123,Donphan,Ground,
124,Cufant,Steel,
125,Copperajah,Steel,
126,Gible,Dragon/Ground,
127,Gabite,Dragon/Ground,
128,Garchomp,Dragon/Ground,
129,Nacli,Rock,
130,Naclstack,Rock,
131,Garganacl,Rock,
132,Wingull,Water/Flying,
133,Pelipper,Water/Flying,
134,Magikarp,Water,
135,Gyarados,Water,
136,Arrokuda,Water,
137,Barraskewda,Water,
138,Basculin,Water,
139,Gulpin,Poison,
140,Swalot,Poison,
141,Meowth,Normal,
142,Persian,Normal,
143,Drifloon,Ghost/Flying,
144,Drifblim,Ghost/Flying,
145,Flabebe,Fairy,
146,Floette,Fairy,
147,Florges,Fairy,
148,Diglett,Ground,
149,Dugtrio,Ground,
150,Torkoal,Fire,
151,Numel,Fire/Ground,
152,Camerupt,Fire/Ground,
153,Bronzor,Psychic/Steel,
154,Bronzong,Psychic/Steel,
155,Axew,Dragon,
156,Fraxure,Dragon,
157,Haxorus,Dragon,
158,Mankey,Fighting,
159,Primeape,Fighting,
160,Annihilape,Fighting/Ghost,
161,Meditite,Fighting/Psychic,
162,Medicham,Fighting/Psychic,
163,Riolu,Fighting,
164,Lucario,Fighting/Steel,
165,Charcadet,Fire,
166,Armarouge,Fire/Psychic,
167,Ceruledge,Fire/Ghost,
168,Barboach,Water/Ground,
169,Whiscash,Water/Ground,
170,Tadbulb,Electric,
171,Bellibolt,Electric,
172,Goomy,Dragon,
173,Sliggoo,Dragon,
174,Goodra,Dragon,
175,Croagunk,Poison/Fighting,
176,Toxicroak,Poison/Fighting,
177,Wattrel,Electric/Flying,
178,Kilowattrel,Electric/Flying,
179,Eevee,Normal,
180,Vaporeon,Water,
181,Jolteon,Electric,
182,Flareon,Fire,
183,Espeon,Psychic,
184,Umbreon,Dark,
185,Leafeon,Grass,
186,Glaceon,Ice,
187,Sylveon,Fairy,
188,Dunsparce,Normal,
189,Dudunsparce,Normal,
190,Deerling,Normal,
191,Sawsbuck,Normal,
192,Girafarig,Normal/Psychic,
193,Farigiraf,Normal/Psychic,
194,Grimer,Poison,
195,Muk,Poison,
196,Maschiff,Dark,
197,Mabosstiff,Dark,
198,Toxel,Electric/Poison,
199,Toxtricity,Electric/Poison,
200,Dedenne,Electric/Fairy,
201,Pachirisu,Electric,
202,Shroodle,Poison/Normal,
203,Grafaiai,Poison/Normal,
204,Stantler,Normal,
205,Foongus,Grass/Poison,
206,Amoonguss,Grass/Poison,
207,Voltorb,Electric,
208,Electrode,Electric,
209,Magnemite,Electric/Steel,
210,Magnetite,Electric/Steel,
211,Magnezone,Electric/Steel,
212,Ditto,Normal,
213,Growlithe,Fire,
214,Arcanine,Fire,
215,Teddiursa,Normal,
216,Ursaring,Normal,
217,Zangoose,Normal,
218,Seviper,Poison,
219,Swablu,Flying,
220,Altaria,Flying/Dragon,
221,Skiddo,Grass,
222,Gogoat,Grass,
223,Tauros (Paldean Form),Fighting,
223,Tauros (Aqua Breed),Fighting/Water,
223,Tauros (Flame Breed),Fighting/Fire,
224,Litleo,Fire/Normal,
225,Pyroar,Fire/Normal,
226,Stunky,Poison/Dark,
227,Skuntank,Poison/Dark,
228,Zorua,Dark,
229,Zoroark,Dark,
230,Sneasel,Dark/Ice,
231,Weavile,Dark/Ice,
232,Murkrow,Dark/Flying,
233,Honchkrow,Dark/Flying,
234,Gothita,Psychic,
235,Gothorita,Psychic,
